0,first_name,last_name,dob,team,hr,hits,avg,salary
32,Rose,Morrison,7/26/1977,Goldenrod,27,153,0.442,14510752.49
33,Joe,Bowman,1/13/1990,Aquamarine,43,235,0.707,23988138.35
34,Ralph,Wood,2/17/1984,Indigo,65,202,0.635,27796337.39
35,Barbara,Perkins,10/10/1983,Teal,68,206,0.756,31302375.03
36,Justin,Wagner,7/10/1977,Puce,39,269,0.597,36199678.82
37,Denise,Gray,8/25/1987,Mauv,72,3,0.626,42572641.81
38,Cheryl,Mills,7/29/1994,Purple,23,53,0.51,27336238.23
39,Rebecca,Gonzales,9/8/1978,Fuscia,73,153,0.573,22177002.22
40,Angela,Jenkins,9/8/1998,Blue,26,6,0.41,39335718.44
41,Jessica,Woods,12/5/1978,Maroon,53,219,0.779,25235901.09
42,Bobby,Fernandez,12/6/1975,Yellow,24,87,0.776,32703890.49
43,Donna,Sanchez,11/21/1997,Aquamarine,70,299,0.636,32192603.5
44,Gregory,Webb,1/18/1983,Goldenrod,10,298,0.274,32438675.8
45,Jennifer,Phillips,11/19/1996,Orange,45,135,0.722,20499183.37
46,Thomas,Harris,8/12/1976,Fuscia,58,219,0.329,17423921.28
47,Diane,Fields,10/21/1987,Purple,78,43,0.587,20378655.02
48,Carlos,Duncan,8/28/1979,Goldenrod,80,275,0.561,36347183.49
49,Teresa,Bennett,4/25/1986,Crimson,41,109,0.701,1068462.87
50,Helen,Medina,12/26/1987,Maroon,12,150,0.54,32169267.91
51,Martin,Smith,3/23/1979,Green,80,204,0.268,11417454.9
52,Sara,West,3/2/1995,Purple,71,13,0.604,37225852.54
53,Judith,Weaver,11/20/1994,Khaki,90,20,0.619,28646087.02
54,Louis,Fowler,3/4/1979,Mauv,45,272,0.617,8457773.0
55,Christina,Ortiz,5/10/1985,Puce,15,279,0.199,10822431.84
56,Jessica,Oliver,3/5/1985,Khaki,78,275,0.786,23215013.3
57,Diane,Cruz,8/26/1994,Maroon,92,204,0.295,31768760.02
58,James,Harper,12/13/1989,Yellow,26,281,0.728,10505551.09
59,Teresa,Peterson,12/9/1992,Puce,19,111,0.087,14134609.82
60,Karen,Moreno,12/7/1990,Puce,94,109,0.616,19037993.21
61,Brian,Hall,4/28/1995,Indigo,78,73,0.767,23574680.96
62,Brandon,King,10/17/1986,Khaki,33,10,0.151,32353316.76
63,Michelle,Martinez,2/19/1977,Goldenrod,36,122,0.648,27856693.93
64,Samuel,Martin,3/15/1993,Fuscia,58,173,0.19,25267834.87
65,Ruby,Porter,10/3/1982,Puce,67,156,0.738,14949892.59
66,Harry,Gardner,12/26/1998,Blue,10,223,0.74,39176938.42
67,Jennifer,Jenkins,2/2/1987,Green,52,114,0.254,9031561.0
68,Clarence,Harper,1/21/1983,Fuscia,97,94,0.407,2056603.0
69,Annie,Edwards,5/8/1976,Violet,58,250,0.117,4242745.0
70,Richard,Gilbert,7/13/1983,Khaki,1,250,0.213,40518422.76
71,Gerald,Hall,9/25/1977,Violet,54,254,0.525,34462298.49
72,Nancy,Hunt,6/13/1988,Green,35,105,0.647,13744045.5
73,Marie,Fields,11/23/1985,Mauv,8888,34,0.283,99999999934147135.84
74,Bonnie,Jones,6/3/1987,Green,1,136,0.124,32189005.3
75,Jeffrey,Ryan,9/22/1980,Fuscia,73,267,0.371,27496390.71
76,Frances,Parker,2/27/1978,Fuscia,54,2,0.756,37244479.01
77,Marie,Chapman,4/14/1998,Khaki,31,276,0.721,26709976.66
78,Thomas,Murphy,11/6/1978,Blue,93,254,0.67,33134201.22
79,Carol,Willis,11/4/1988,Maroon,33,206,0.222,25044572.82
80,Doris,Welch,8/4/1982,Khaki,33,55,0.61,14482792.55
81,Angela,Cole,8/16/1991,Violet,87,136,0.706,42875181.51
82,Elizabeth,Foster,4/30/1994,Indigo,46,163,0.481,33896975.53
83,Steve,Sanders,3/24/1983,Mauv,38,147,0.255,12669934.63
84,Stephen,Morgan,11/19/1989,Purple,54,150,0.498,26896705.01
85,Ronald,Gibson,3/11/1978,Indigo,16,156,0.601,36409929.33
86,Lois,Clark,1/27/1998,Puce,43,121,0.382,21000187.8
87,Jose,Stephens,7/20/1991,Green,80,64253,0.69,16032567.12
88,Lawrence,Watson,7/29/1990,Orange,83,69,0.724,18042919.17
89,Jacqueline,Richards,10/6/1975,Pink,273333,4490260,0.324,444444444448279921.75
90,Beverly,Miller,1/9/1996,Purple,72,1,0.1,27445298.42
91,Susan,Turner,3/21/1989,Pink,44,213,0.739,12605352.13
92,Rachel,Simpson,6/16/1979,Indigo,67,234,0.607,42411283.89
93,Christopher,Cole,7/1/1990,Teal,51,131,0.592,39956540.06
94,Eugene,Webb,6/28/1996,Mauv,63,139,0.777,30665712.34
95,Kimberly,Medina,5/16/1996,Orange,74,154,0.142,23044011.54
96,Ryan,Russell,6/26/1986,Turquoise,36,279,0.73,4522512.1
97,Janice,Mitchell,3/6/1979,Green,79,258,0.784,38671805.36
98,Philip,Gardner,5/6/1992,Puce,39,239,0.697,20967480.67
99,Deborah,Wood,2/20/1984,Fuscia,43,156,0.312,40528142.71
100,Keith,Frazier,6/12/1991,Goldenrod,24,88,0.179,8843919.0
101,Christina,Gilbert,1/2/1975,Pink,72,149,0.342,31947111.32
102,Ernest,Freeman,10/5/1983,Turquoise,46,77,0.564,21444463.92
103,Christine,West,1/24/1998,Red,36,42,0.1,29007760.08
104,Joyce,Bennett,2/15/1983,Red,92,283,0.738,40488761.56
105,Ernest,Hunt,9/8/1987,Blue,46,24,0.454,32644619.17
106,Judy,Ellis,9/12/1978,Yellow,6,282,0.518,15381911.06
107,Julia,Andrews,6/28/1987,Crimson,59,174,0.646,12978578.6
108,Marie,Daniels,6/22/1982,Orange,33,227,0.536,9949703.0
109,Steven,Cruz,11/15/1975,Violet,81,200,0.745,32480680.04
110,Arthur,Crawford,9/20/1984,Teal,9,53,0.592,29137692.94
111,Scott,Price,10/6/1985,Aquamarine,72,136,0.139,44539711.37
112,George,Shaw,1/8/1984,Red,100,65,0.578,23932126.17
113,Katherine,Fisher,12/22/1977,Orange,48,11,0.409,39508885.29
114,Harold,Howell,9/12/1996,Puce,94,175,0.712,17057956.56
115,Carolyn,Brown,8/31/1981,Indigo,9,75,0.717,30865798.96
116,Gregory,Ruiz,9/7/1978,Crimson,85,88,0.802,11731839.12
117,Diana,Robinson,4/10/1990,Red,24,26,0.164,21324261.88
118,Anna,Gutierrez,5/31/1982,Fuscia,73,298,0.344,16759449.58
119,Raymond,Welch,5/30/1983,Blue,97,214,0.215,43140974.57
120,Rebecca,Lopez,7/28/1981,Indigo,80,89,0.674,20793596.61
121,Jane,Mitchell,3/5/1978,Green,11,240,0.347,12580772.16
122,Michael,Reid,4/22/1984,Mauv,84,289,0.455,13828411.13
123,Charles,Dunn,12/26/1981,Purple,46,165,0.253,8108356.39
124,Bruce,Sims,5/5/1977,Green,19,12,0.412,5515134.39
125,Lisa,Richards,9/21/1991,Goldenrod,65,46,0.51,31329216.37
126,Phillip,Wilson,7/18/1996,Goldenrod,99,175,0.676,7403815.14
127,Steven,Carroll,6/26/1992,Blue,95,192,0.335,23598224.48
128,Steve,Pierce,10/12/1984,Violet,57,247,0.413,6410995.0
129,Gregory,Cole,12/8/1994,Red,86,10,0.577,10446838.73
130,Lawrence,Martinez,5/28/1996,Teal,86,142,0.571,7409277.55
131,Christina,Hayes,12/24/1977,Crimson,91,103,0.573,15854272.85
132,Joan,Watkins,2/22/1993,Indigo,69,248,0.33,10970077.45
133,Denise,Wright,8/23/1987,Violet,62,156,0.119,26658259.62
134,Catherine,Ruiz,3/26/1989,Fuscia,37,39,0.209,15523438.93
135,Martin,Weaver,12/26/1985,Blue,27,112,0.085,20684970.87
136,Julie,Green,8/20/1985,Aquamarine,46,258,0.379,20640307.05
137,Emily,Hill,2/12/1997,Teal,54,17,0.63,6350042.22
138,Gary,Rodriguez,6/27/1990,Pink,6,18,0.791,21763807.17
139,Randy,Lee,7/11/1976,Red,53,149,0.193,18508215.88
140,Anthony,Stanley,12/16/1995,Pink,76,79,0.535,6744499.0
141,Joan,Nguyen,4/18/1983,Purple,43,32,0.266,3216032.67
142,Craig,Harvey,8/23/1977,Mauv,75,34,0.426,38805857.83
143,Johnny,Sullivan,5/24/1984,Indigo,73,160,0.338,28010217.26
144,Howard,Gutierrez,11/4/1987,Puce,46,231,0.146,28510073.43
145,Donald,Woods,10/17/1990,Purple,61,283,0.354,33162506.28
146,Rebecca,Foster,3/2/1981,Yellow,6,262,0.398,18396172.94
147,Debra,Hall,12/31/1980,Maroon,1100037,230,0.431,9000101403.0
148,Ashley,Anderson,12/4/1996,Indigo,33,237,0.231,2739636.47
149,Christine,Sanders,5/17/1978,Teal,56,145,0.326,3029850.0
150,Benjamin,Thomas,12/1/1984,Aquamarine,25,226,0.323,22282945.11
151,Jason,Stewart,9/18/1994,Fuscia,35,101,0.713,3105381.36
152,Ralph,Lane,4/15/1976,Khaki,69,236,0.421,14146713.76
153,Craig,Riley,5/12/1991,Fuscia,8,216,0.326,27300842.79
154,Tina,Lynch,6/25/1988,Fuscia,9,131,0.282,20686070.65
155,Carl,Gardner,3/2/1985,Purple,74,209,0.656,16191212.23
156,Brandon,Carr,11/21/1983,Goldenrod,90,103,0.686,18144703.64
157,Rachel,Burke,2/1/1984,Maroon,6,285,0.101,2876192.0
158,Stephen,Hill,5/21/1988,Purple,32,172,0.613,42085374.93
159,Adam,Morrison,11/2/1987,Purple,21,229,0.53,20310402.82
160,John,Cunningham,1/16/1979,Mauv,36,72,0.653,30784021.95
161,Peter,Matthews,10/5/1989,Puce,20,215,0.447,31313485.93
162,Richard,Myers,3/9/1981,Teal,74,191,0.708,22788231.74
163,Joshua,Fowler,12/21/1988,Violet,79,59,0.728,26624270.33
164,Harold,Cole,10/20/1989,Indigo,34,292,0.759,29818287.78
165,Rose,Jackson,11/29/1996,Teal,1,25,0.808,30548241.62
166,Marilyn,Mccoy,9/4/1985,Pink,45,90,0.352,30297699.72
167,Laura,Weaver,11/6/1988,Aquamarine,85,296,0.374,26166146.7
168,Carl,Harrison,3/17/1978,Teal,29,248,0.782,38690958.51
169,Peter,Collins,3/4/1994,Violet,14,16,0.387,37856547.95
170,Henry,Hernandez,8/31/1995,Goldenrod,8,21,0.254,5752508.57
171,John,Gibson,6/3/1981,Violet,91,238,0.729,34708267.16
172,Rebecca,Lynch,6/4/1989,Turquoise,4,180,0.419,43560087.84
173,Brenda,Sims,1/17/1981,Pink,11,127,0.628,15134410.58
174,Daniel,Gray,8/30/1986,Yellow,90,19,0.655,41477564.91
175,Sandra,Powell,10/19/1976,Red,77,83,0.149,39204363.24
176,Julia,Parker,6/24/1977,Blue,18,296,0.341,36602203.16
177,Amanda,Woods,5/25/1985,Green,33,96,0.078,6975776.0
178,Mark,Medina,11/13/1982,Teal,23,9,0.204,31378651.72
179,Chris,Chavez,3/18/1996,Maroon,47,269,0.757,24290782.48
180,Robin,Wagner,12/18/1979,Red,9,136,0.803,41614252.59
181,Russell,Martinez,10/19/1993,Puce,71,181,0.756,19044121.75
182,Christine,Fox,10/8/1977,Goldenrod,96,110,0.752,31901900.2
183,Timothy,Hicks,12/19/1979,Green,100,2,0.463,36525011.67
184,Charles,Mendoza,11/4/1990,Crimson,55,150,0.768,23254514.46
185,James,Perez,1/20/1980,Goldenrod,75,27,0.221,13098260.66
186,Heather,Rivera,10/14/1992,Blue,24,98,0.371,15673704.75
187,Dorothy,Myers,11/2/1988,Purple,64,270,0.706,39279592.4
188,Ronald,Rice,3/24/1993,Crimson,81,104,0.745,30066092.96
189,Sandra,Castillo,4/6/1991,Blue,9,112,0.792,7170453.96
190,David,Daniels,5/27/1984,Teal,23,134,0.204,17945772.88
191,Linda,Richards,2/16/1989,Blue,83,217,0.18,32439946.23
192,Billy,Morris,4/9/1993,Puce,3,243,0.57,44270946.92
193,Fred,Gonzalez,11/2/1992,Maroon,96,161,0.127,2940546.6
194,Jane,Burns,5/17/1998,Mauv,92,216,0.187,3581423.26
195,Irene,King,11/5/1991,Mauv,90,200,0.225,3019453.02
196,Barbara,Phillips,4/1/1975,Turquoise,15,211,0.437,36970450.23
197,Dorothy,Wallace,4/13/1991,Red,94,207,0.14,41972438.91
198,Roy,Webb,10/9/1986,Puce,50,83,0.119,20730715.87
199,Daniel,Elliott,5/9/1997,Puce,82,85,0.439,33404172.28
200,Harry,Collins,8/14/1994,Puce,42,214,0.665,11309398.54
201,Jason,Johnson,8/6/1986,Indigo,30,22,0.676,31559621.3
202,Douglas,Mitchell,5/5/1983,Puce,35,81,0.175,33717774.86
203,Arthur,Frazier,7/10/1998,Green,42,107,0.176,7034653.0
204,Pamela,Wagner,5/23/1984,Fuscia,6,248,0.176,27222191.3
205,Diane,Woods,12/21/1991,Khaki,69,113,0.205,37345484.59
206,Jimmy,Walker,10/15/1990,Mauv,73,172,0.178,25088314.36
207,Nicole,Olson,7/18/1978,Yellow,69,203,0.112,26910322.47
208,Johnny,Kennedy,8/9/1991,Turquoise,69,51,0.725,1401358.75
209,Andrew,Rogers,6/9/1976,Turquoise,19,194,0.161,20978674.22
210,Joshua,Young,7/7/1995,Blue,48,282,0.19,24790598.14
211,Frances,Arnold,4/1/1988,Purple,12,27,0.21,21358303.7
212,Jean,Cunningham,9/15/1991,Green,85,281,0.314,24900210.74
213,Andrew,Cruz,5/28/1983,Indigo,2,257,0.286,11647094.36
214,Albert,Oliver,10/2/1979,Khaki,90,179,0.114,22865170.59
215,Alice,Hansen,11/30/1982,Maroon,25,118,0.275,39146343.72
216,Steve,Martinez,3/22/1994,Orange,2,29,0.617,5482716.44
217,Matthew,Fuller,8/29/1988,Orange,47,230,0.136,8450349.0
218,John,Butler,2/25/1976,Aquamarine,50,218,0.613,26792365.51
219,John,Vasquez,1/17/1988,Green,22,81,0.136,35719226.81
220,Eugene,Romero,3/13/1976,Khaki,21,186,0.517,8817050.0
221,Laura,Reyes,1/9/1997,Violet,56,205,0.355,1032877.43
222,Gerald,Fuller,2/13/1991,Goldenrod,3200000,216,0.299,37008899.76
223,Judy,Parker,10/30/1986,Orange,88,45,0.689,16589004.58
224,Justin,Pierce,4/23/1984,Violet,88,252,0.761,17216009.27
225,Chris,Taylor,3/16/1980,Purple,51,188,0.326,7060667.19
226,Jesse,Fox,11/30/1989,Blue,58,36,0.692,35651526.6
227,Carl,Sims,9/22/1985,Blue,85,127,0.638,12981282.43
228,Mark,Walker,5/1/1984,Violet,67,24,0.707,24382678.54
229,Chris,Nguyen,3/10/1995,Puce,99,156,0.193,31943798.2
230,Kathy,Hayes,5/16/1992,Yellow,74,291,0.454,8920198.0
231,Christina,Long,8/17/1988,Pink,80,122,0.777,32838686.82
232,Christina,Morales,10/7/1986,Orange,98,113,0.547,43103813.51
233,Eugene,Spencer,3/11/1994,Yellow,26,254,0.727,29194049.74
234,Christina,Parker,8/26/1977,Green,17,192,0.714,18406953.34
235,Juan,Lawson,8/20/1997,Fuscia,23,298,0.799,31721685.16
236,Stephanie,White,11/25/1990,Teal,35,235,0.181,34375579.14
237,Nancy,Weaver,12/17/1994,Turquoise,39,293,0.562,38292965.8
238,Gary,Meyer,3/26/1977,Fuscia,87,297,0.266,43311194.01
239,Ronald,King,7/26/1998,Blue,68,296,0.233,35973113.71
240,Kelly,Burton,4/16/1977,Mauv,54,2,0.285,3103379.92
241,Jason,Griffin,9/17/1982,Yellow,68,104,0.524,30935078.99
242,Irene,Phillips,3/14/1985,Violet,26,83,0.332,7887533.27
243,Denise,Cook,1/20/1993,Red,24,271,0.696,1140331.29
244,Kathleen,Cooper,8/26/1984,Fuscia,26,133,0.593,29399509.77
245,Barbara,Hernandez,7/30/1995,Puce,80,188,0.462,6860243.0
246,Joe,Chapman,1/21/1980,Aquamarine,50,145,0.626,39136327.34
247,Benjamin,Sims,3/10/1979,Goldenrod,66,3,0.598,19352454.68
248,Sara,Spencer,9/25/1991,Yellow,19,89,0.339,16125736.76
249,Marie,Lee,11/29/1979,Maroon,62,188,0.355,11086847.58
250,Janet,Stewart,10/22/1977,Turquoise,14,204,0.674,18281782.21
251,Mildred,Wagner,8/17/1981,Orange,1,163,0.257,43568794.35
252,Frank,Harvey,5/15/1988,Indigo,53,97,0.439,44596994.12
253,Theresa,Anderson,4/27/1986,Aquamarine,42,161,0.397,3453348.85
254,Jonathan,Anderson,11/16/1980,Khaki,2,49,0.674,22928185.9
255,Lori,Ryan,8/26/1977,Maroon,91,20,0.758,18198310.98
256,Carl,Boyd,8/28/1998,Red,27,71,0.35,19259634.0
257,Sara,Knight,6/12/1987,Indigo,49,229,0.741,5061494.0
258,Russell,Williamson,10/7/1983,Red,96,49,0.284,10187595.27
259,Lois,Johnston,4/22/1984,Turquoise,17,32,0.15,23073191.68
260,Teresa,Boyd,12/19/1995,Crimson,49,94,0.378,18543077.25
261,Michelle,Sanchez,5/30/1986,Yellow,32,169,0.231,12892166.66
262,Bonnie,Nguyen,8/31/1991,Maroon,11,57,0.771,40584910.25
263,Jack,Hunter,9/5/1994,Crimson,43,222,0.795,13641752.83
264,Ruth,Ray,12/17/1991,Turquoise,35,283,0.233,41340317.85
265,Janice,Sims,12/29/1977,Orange,26,294,0.316,25711690.8
266,Theresa,Ramirez,10/6/1988,Crimson,64,187,0.475,37847745.4
267,Cynthia,Cunningham,11/16/1983,Purple,23,119,0.225,12706936.83
268,Jonathan,Perkins,10/15/1978,Goldenrod,93,7,0.348,15181026.44
269,Teresa,Robinson,1/17/1995,Violet,60,214,0.377,34511274.03
270,Scott,White,9/11/1992,Aquamarine,56,297,0.791,38715184.1
271,Diana,Cole,4/11/1988,Goldenrod,93,60,0.424,6522346.0
272,Sara,Greene,11/1/1984,Teal,2,163,0.106,8805045.0
273,Alice,Anderson,9/27/1992,Puce,35,234,0.528,29166978.36
274,Patrick,Nelson,11/22/1991,Yellow,77,297,0.328,10222920.98
275,Cheryl,Bishop,8/9/1992,Red,70,267,0.76,1984323.83
276,Clarence,Knight,9/27/1989,Khaki,50,40,0.173,15167117.49
277,Ruth,Arnold,10/16/1988,Yellow,25,131,0.307,10009227.93
278,Brandon,Medina,12/12/1976,Orange,73,160,0.31,1276470.78
279,Sarah,Anderson,1/14/1976,Khaki,31,270,0.293,10709685.26
280,Elizabeth,Stewart,7/23/1997,Teal,55,53,0.607,12122207.73
281,Carlos,Sims,7/29/1975,Maroon,42,129,0.758,34432804.49
282,Christina,Jacobs,12/12/1982,Purple,43,106,0.17,419287.99
283,Marie,Patterson,2/23/1978,Teal,81,142,0.572,13065286.37
284,Patrick,Morris,5/13/1998,Green,64,159,0.54,12256851.92
285,Sandra,Cooper,4/4/1986,Pink,7,133,0.73,982671.02
286,Steve,Jenkins,8/26/1993,Teal,95,184,0.519,40124969.78
287,Ruby,Holmes,11/4/1989,Aquamarine,87,122,0.128,7853673.69
288,Diane,Richards,11/24/1992,Puce,97,57,0.295,10515393.88
289,Theresa,Edwards,3/1/1998,Teal,16,76,0.565,30690886.49
290,Nicole,Reed,2/15/1983,Turquoise,73,229,0.581,19155238.29
291,Mary,Evans,12/11/1992,Violet,17,81,0.261,27876582.07
292,Willie,Powell,7/13/1978,Puce,2,85,0.707,43030529.02
293,Willie,Kelly,4/3/1995,Mauv,66,178,0.618,36800822.66
294,Timothy,Foster,8/2/1993,Khaki,1,161,0.191,19412063.35
295,Andrew,Gutierrez,9/15/1997,Red,32,107,0.628,43156395.01
296,Robin,Carroll,7/10/1980,Red,91,281,0.304,13479493.77
297,Joseph,Gonzales,8/7/1987,Maroon,7,171,0.656,31791574.27
298,Alice,Spencer,11/20/1981,Pink,34,89,0.124,42899358.23
299,Amanda,Robertson,1/18/1993,Mauv,81,267,0.394,42823253.92
300,Carlos,Gilbert,3/21/1982,Pink,62,191,0.172,29868922.06
301,George,Campbell,12/25/1987,Pink,89,193,0.362,1980974.02
302,Eugene,Mccoy,5/11/1992,Puce,16,21,0.321,25065717.28
303,Helen,Elliott,10/29/1987,Teal,53,211,0.078,28947173.87
304,Shirley,Perkins,10/20/1980,Purple,18,45,0.177,17674451.38
305,Richard,Bennett,9/14/1990,Red,46,13,0.701,3134648.45
306,Philip,Gonzalez,4/15/1992,Khaki,7,281,0.789,23349231.97
307,Mildred,Harper,6/24/1981,Blue,18,20,0.359,38235451.58
308,Wayne,Hayes,12/4/1978,Orange,37,109,0.475,30699122.24
309,Phyllis,Wilson,11/14/1981,Goldenrod,8,294,0.326,10080159.74
310,Antonio,Willis,4/30/1993,Khaki,24,215,0.215,4162581.0
311,Matthew,Lewis,1/1/1979,Red,4,275,0.459,20221671.58
312,Eric,Ford,3/23/1978,Crimson,4,8,0.679,32482282.28
313,Billy,Burton,10/3/1995,Pink,72,79,0.593,35986117.34
314,Carl,Diaz,9/27/1981,Maroon,26,296,0.384,28405714.63
315,Amy,Romero,12/8/1979,Turquoise,19,159,0.557,26929877.51
316,Sandra,Elliott,5/11/1994,Yellow,98,7,0.789,24321806.91
317,Helen,Ray,11/12/1991,Purple,54,202,0.708,28937205.54
318,Gerald,Kelley,12/11/1985,Red,40,195,0.752,31491608.02
319,Harry,Ramos,2/21/1981,Fuscia,72,150,0.507,7420671.32
320,Catherine,Gomez,6/2/1979,Yellow,66,215,0.372,41078546.12
321,Donna,Murray,5/11/1985,Teal,37,192,0.398,27495746.82
322,Louis,Armstrong,5/18/1989,Indigo,33,249,0.567,16489484.84
323,Susan,Jones,1/26/1986,Green,24,223,0.531,10057045.51
324,Shirley,Gonzalez,1/4/1987,Mauv,1,11,0.086,38622124.72
325,Billy,Banks,6/30/1994,Indigo,27,23,0.456,18771557.71
326,Carlos,Olson,5/22/1975,Puce,51,246,0.787,32102299.84
327,Kevin,Gonzales,1/16/1976,Goldenrod,48,106,0.389,13596926.84
328,Philip,Snyder,12/26/1980,Orange,80,97,0.123,26300389.33
329,Lawrence,Oliver,8/15/1989,Aquamarine,64,141,0.565,41444006.29
330,Matthew,Carter,11/6/1986,Mauv,8,55,0.719,13286582.76
331,Tammy,Fields,6/15/1981,Crimson,38,262,0.132,1802451.72
332,Theresa,Dunn,2/25/1982,Indigo,100,280,0.171,32589988.8
333,Irene,Perkins,9/8/1982,Indigo,40,246,0.611,42328611.37
334,Arthur,Robertson,11/2/1988,Fuscia,51,189,0.585,25665527.0
335,Jessica,Hicks,1/21/1978,Crimson,44,52,0.13,11742943.72
336,Jonathan,Bradley,3/9/1994,Goldenrod,4,163,0.485,32032529.64
337,Cheryl,Burton,7/25/1991,Yellow,96,206,0.236,37453033.82
338,Shawn,Bennett,2/8/1981,Aquamarine,85,277,0.65,41745363.09
339,Johnny,Johnston,11/29/1978,Puce,15,237,0.782,34020605.55
340,Annie,Brooks,5/28/1988,Blue,41,179,0.674,30413180.49
341,Raymond,Andrews,12/20/1983,Puce,28,262,0.373,5955142.0
342,Lisa,Williamson,1/3/1994,Maroon,86,164,0.155,42021667.28
343,Marilyn,Bishop,5/17/1986,Mauv,16,247,0.638,26188354.67
344,Larry,Grant,2/9/1987,Yellow,16,201,0.309,5310485.0
345,Robin,Parker,5/26/1991,Teal,83,290,0.226,9735918.0
346,Betty,Webb,10/23/1980,Yellow,18,201,0.223,580916.0
347,Paul,Barnes,7/16/1976,Khaki,69,156,0.702,35352238.65
348,Donald,Robertson,4/10/1981,Crimson,94,137,0.33,34375557.12
349,Johnny,Holmes,7/25/1986,Yellow,84,67,0.599,13320454.52
350,Michael,Hicks,1/22/1979,Green,83,241,0.729,39711602.5
351,Teresa,Phillips,1/6/1980,Purple,26,274,0.293,25924888.68
352,Elizabeth,Kelly,8/11/1994,Mauv,67,67,0.801,14588145.74
353,Lisa,Young,8/6/1988,Fuscia,60,175,0.283,13569445.05
354,Douglas,Peters,4/18/1995,Pink,22,288,0.587,18957417.12
355,Scott,Cole,3/2/1992,Khaki,21,60,0.616,13389948.12
356,Jeffrey,Bailey,10/2/1975,Orange,32,123,0.115,41764575.72
357,Johnny,Cox,6/10/1991,Mauv,79,80,0.315,992116.56
358,Mildred,Richardson,1/22/1986,Violet,42,125,0.111,10959060.51
359,Jennifer,Frazier,12/23/1996,Khaki,94,147,0.313,15945828.48
360,Steven,Garrett,4/16/1986,Mauv,80,42,0.708,22282869.29
361,Jean,Kennedy,9/20/1981,Yellow,86,221,0.328,21087717.44
362,Christopher,Fields,5/2/1997,Mauv,52,178,0.417,39084032.64
363,Ashley,Campbell,12/6/1982,Indigo,41,239,0.769,2362232.0
364,Kathy,Porter,11/7/1998,Blue,73,94,0.239,24722524.1
365,Joe,Simmons,7/18/1979,Mauv,1,126,0.37,32707160.79
366,Alice,Parker,11/3/1984,Mauv,76,258,0.708,25421473.15
367,Adam,Black,6/2/1997,Maroon,2,154,0.5,4343180.97
368,Thomas,Lawson,4/18/1980,Maroon,86,253,0.806,27877257.57
369,Mildred,Rice,7/29/1983,Fuscia,92,82,0.388,1842516.68
370,Ann,Sullivan,4/9/1975,Khaki,51,173,0.762,25288854.4
371,Janice,Garcia,8/2/1989,Indigo,56,53,0.351,5789332.0
372,Aaron,Patterson,7/3/1997,Indigo,47,191,0.741,14956343.02
373,Angela,Willis,5/2/1986,Purple,70,46,0.381,35450421.42
374,Margaret,Lee,1/16/1995,Green,60,63,0.276,36511870.12
375,Karen,Baker,4/9/1988,Red,34,17,0.165,24813206.02
376,Howard,Ramirez,6/17/1998,Blue,88,15,0.168,43916895.38
